"ip","tags","lastseen"
"185.224.138.94","Perch sandbox run of gandcrab","2021-05-08 16:00:02.321608+00:00"
"45.15.143.148","PerchLabs sandbox, exe, NetWire, RAT","2021-05-08 16:00:02.321608+00:00"
"211.21.243.151","Honeynet","2021-05-08 18:00:02.410721+00:00"
"122.227.189.42","Honeynet","2021-05-08 16:00:02.321608+00:00"
"118.123.244.163","Honeynet","2021-05-08 16:00:02.321608+00:00"
"177.137.96.14","Honeynet","2021-05-08 16:00:02.321608+00:00"
"41.94.22.6","Honeynet","2021-05-08 16:00:02.321608+00:00"
"115.230.127.107","PurpleFox","2021-05-08 18:00:02.410721+00:00"
"95.161.197.174","PurpleFox","2021-05-08 18:00:02.410721+00:00"
"88.204.158.206","Honeynet","2021-05-08 16:00:02.321608+00:00"
"60.190.202.44","Honeynet","2021-05-08 16:00:02.321608+00:00"
"183.131.206.114","Honeynet","2021-05-08 16:00:02.321608+00:00"
"113.56.35.62","Honeynet","2021-05-08 16:00:02.321608+00:00"
"194.5.98.14","PerchLabs sandbox, NanoCore, RAT, Yahoo, zip","2021-05-08 16:00:02.321608+00:00"
"59.63.163.216","Honeynet","2021-05-08 16:00:02.321608+00:00"
"218.107.195.117","Honeynet","2021-05-08 18:00:02.410721+00:00"
"104.103.58.32","Perch sandbox run of gandcrab","2021-05-08 16:00:02.321608+00:00"
"104.102.196.140","Perch sandbox run of agenttesla","2021-05-08 16:00:02.321608+00:00"
"192.0.32.59","PerchLabs sandbox, exe, RedLineStealer","2021-05-08 16:00:02.321608+00:00"
"36.27.209.188","Honeynet","2021-05-08 18:00:02.410721+00:00"
"103.231.30.86","Honeynet","2021-05-08 16:00:02.321608+00:00"
"51.195.53.221","","2021-05-08 16:00:02.321608+00:00"
"172.31.16.112","Perch sandbox run of gandcrab","2021-05-08 16:00:02.321608+00:00"
"23.225.39.130","Honeynet","2021-05-08 16:00:02.321608+00:00"
"110.14.163.111","Honeynet","2021-05-08 18:00:02.410721+00:00"
